agent	routing_class	model_reasoning_effort
ada-orchestrator	ceiling	high
boole-formula-reviewer	build	medium
curie-validation-tester	build	medium
darwin-biology-reviewer	build	medium
emmy-r-package-architect	build	medium
falconer-quantgen-interpreter	build	medium
fisher-inference-reviewer	build	medium
florence-visual-reviewer	build	medium
gauss-numerical-engineer	ceiling	high
grace-ci-release-engineer	build	medium
henderson-animal-model-specialist	build	medium
hopper-r-julia-translator	build	medium
jason-landscape-scout	scout	low
karpinski-julia-performance	build	medium
kirkpatrick-gmatrix-specialist	build	medium
melissa-reconciler	build	medium
mendel-inheritance-specialist	build	medium
mrode-validation-canon	build	medium
noether-math-reviewer	ceiling	high
pat-user-tester	build	medium
ranganathan-notebooklm-librarian	build	medium
rose-systems-auditor	ceiling	high
shannon-coordinator	build	medium
