id,group,y
1,1,3
2,1,3
3,1,2
4,1,3
5,1,3
6,1,3
7,1,3
8,1,3
9,2,1
10,2,2
11,2,1
12,2,1
13,2,1
14,2,1
15,2,3
16,2,1
17,3,3
18,3,1
19,3,1
20,3,1
21,3,3
22,3,2
23,3,2
24,3,1
25,4,3
26,4,3
27,4,3
28,4,2
29,4,3
30,4,2
31,4,2
32,4,2
33,5,2
34,5,1
35,5,1
36,5,1
37,5,1
38,5,1
39,5,2
40,5,1
41,6,3
42,6,3
43,6,2
44,6,2
45,6,2
46,6,3
47,6,2
48,6,2
49,7,1
50,7,2
51,7,1
52,7,2
53,7,1
54,7,2
55,7,2
56,7,1
57,8,2
58,8,2
59,8,1
60,8,2
61,8,1
62,8,2
63,8,1
64,8,1
65,9,2
66,9,2
67,9,1
68,9,2
69,9,2
70,9,1
71,9,1
72,9,3
73,10,2
74,10,3
75,10,3
76,10,3
77,10,3
78,10,3
79,10,3
80,10,3
81,11,3
82,11,3
83,11,3
84,11,2
85,11,1
86,11,1
87,11,1
88,11,3
89,12,3
90,12,3
91,12,3
92,12,3
93,12,2
94,12,3
95,12,2
96,12,2
97,13,1
98,13,2
99,13,1
100,13,1
101,13,1
102,13,1
103,13,1
104,13,1
105,14,1
106,14,1
107,14,1
108,14,3
109,14,1
110,14,2
111,14,3
112,14,1
113,15,1
114,15,1
115,15,1
116,15,2
117,15,1
118,15,1
119,15,1
120,15,1
121,16,2
122,16,3
123,16,3
124,16,2
125,16,3
126,16,3
127,16,3
128,16,2
129,17,3
130,17,2
131,17,1
132,17,1
133,17,1
134,17,1
135,17,1
136,17,1
137,18,1
138,18,1
139,18,1
140,18,1
141,18,1
142,18,1
143,18,2
144,18,1
145,19,1
146,19,2
147,19,2
148,19,1
149,19,1
150,19,1
151,19,1
152,19,1
153,20,2
154,20,3
155,20,3
156,20,3
157,20,3
158,20,2
159,20,3
160,20,2
161,21,2
162,21,3
163,21,1
164,21,3
165,21,2
166,21,2
167,21,2
168,21,1
169,22,1
170,22,2
171,22,2
172,22,2
173,22,2
174,22,3
175,22,1
176,22,2
177,23,3
178,23,1
179,23,3
180,23,1
181,23,2
182,23,2
183,23,1
184,23,2
185,24,1
186,24,2
187,24,3
188,24,1
189,24,3
190,24,3
191,24,2
192,24,1
193,25,1
194,25,1
195,25,2
196,25,1
197,25,1
198,25,1
199,25,1
200,25,1
201,26,1
202,26,2
203,26,2
204,26,1
205,26,2
206,26,3
207,26,2
208,26,3
209,27,1
210,27,3
211,27,2
212,27,1
213,27,1
214,27,1
215,27,2
216,27,2
217,28,3
218,28,1
219,28,2
220,28,1
221,28,3
222,28,1
223,28,1
224,28,2
225,29,3
226,29,2
227,29,3
228,29,1
229,29,3
230,29,3
231,29,2
232,29,3
233,30,2
234,30,1
235,30,2
236,30,2
237,30,2
238,30,2
239,30,2
240,30,2
241,31,3
242,31,1
243,31,1
244,31,1
245,31,1
246,31,1
247,31,1
248,31,1
249,32,3
250,32,1
251,32,3
252,32,2
253,32,1
254,32,3
255,32,2
256,32,3
257,33,3
258,33,2
259,33,2
260,33,2
261,33,2
262,33,3
263,33,2
264,33,2
265,34,3
266,34,3
267,34,3
268,34,2
269,34,3
270,34,2
271,34,3
272,34,3
273,35,1
