"y","id"
1,1
1,1
1,1
1,1
1,2
2,2
2,2
1,2
1,3
1,3
1,3
2,3
1,4
1,4
2,4
2,4
2,5
3,5
3,5
2,5
3,6
3,6
2,6
3,6
2,7
3,7
2,7
2,7
3,8
2,8
2,8
2,8
3,9
3,9
3,9
3,9
1,10
2,10
1,10
3,10
1,11
2,11
3,11
3,11
1,12
1,12
1,12
1,12
3,13
3,13
3,13
3,13
1,14
1,14
1,14
1,14
2,15
3,15
2,15
1,15
2,16
1,16
3,16
2,16
1,17
2,17
1,17
2,17
2,18
1,18
1,18
1,18
1,19
1,19
1,19
1,19
1,20
1,20
1,20
2,20
2,21
1,21
1,21
2,21
3,22
3,22
2,22
3,22
2,23
1,23
1,23
1,23
1,24
3,24
1,24
2,24
2,25
3,25
1,25
2,25
1,26
1,26
1,26
2,26
1,27
1,27
1,27
1,27
1,28
3,28
2,28
2,28
2,29
1,29
1,29
1,29
2,30
2,30
2,30
3,30
3,31
3,31
3,31
1,31
1,32
2,32
2,32
2,32
2,33
1,33
2,33
1,33
3,34
3,34
3,34
3,34
2,35
1,35
1,35
1,35
3,36
2,36
1,36
3,36
3,37
3,37
3,37
3,37
3,38
1,38
2,38
3,38
1,39
3,39
2,39
2,39
3,40
3,40
1,40
1,40
3,41
1,41
1,41
2,41
1,42
2,42
2,42
2,42
2,43
1,43
2,43
1,43
1,44
1,44
2,44
2,44
2,45
2,45
2,45
1,45
3,46
3,46
3,46
2,46
1,47
1,47
1,47
2,47
3,48
3,48
3,48
3,48
2,49
3,49
2,49
2,49
2,50
1,50
2,50
2,50
3,51
1,51
2,51
2,51
2,52
3,52
2,52
2,52
2,53
2,53
1,53
1,53
2,54
2,54
2,54
1,54
1,55
1,55
1,55
2,55
1,56
1,56
2,56
1,56
2,57
1,57
3,57
1,57
3,58
1,58
3,58
2,58
1,59
2,59
3,59
3,59
2,60
1,60
1,60
2,60
2,61
2,61
1,61
3,61
2,62
3,62
3,62
2,62
2,63
1,63
1,63
1,63
3,64
1,64
2,64
2,64
2,65
1,65
1,65
1,65
2,66
2,66
1,66
2,66
1,67
1,67
2,67
1,67
1,68
1,68
1,68
1,68
3,69
3,69
3,69
1,69
1,70
2,70
3,70
3,70
3,71
1,71
1,71
2,71
2,72
1,72
1,72
1,72
1,73
1,73
2,73
2,73
1,74
1,74
1,74
1,74
3,75
1,75
2,75
3,75
1,76
1,76
1,76
2,76
2,77
3,77
2,77
2,77
2,78
1,78
1,78
1,78
1,79
1,79
3,79
3,79
2,80
3,80
3,80
3,80
