target	method	design	n_animals	residual_df	family_df	h2_true	level	n_boot	reps	fit_success	interval_success	covered	coverage	mcse_observed	mcse_nominal	mean_width
h2	h2_bootstrap_percentile	tiny	36	33	9	0.2	0.9	200	500	351	351	342	0.97435897	0.0084367199	0.016012815	0.79376611
h2	h2_bootstrap_percentile	tiny	36	33	9	0.2	0.95	200	500	351	351	349	0.99430199	0.0040176032	0.011633041	0.88771493
h2	h2_bootstrap_percentile	tiny	36	33	9	0.4	0.9	200	500	408	408	397	0.97303922	0.0080186517	0.014852213	0.82570203
h2	h2_bootstrap_percentile	tiny	36	33	9	0.4	0.95	200	500	408	408	408	1	0	0.010789883	0.91290737
h2	h2_bootstrap_percentile	tiny	36	33	9	0.6	0.9	200	500	442	442	431	0.97511312	0.0074097162	0.014269545	0.83311019
h2	h2_bootstrap_percentile	tiny	36	33	9	0.6	0.95	200	500	442	442	441	0.99773756	0.0022598827	0.010366584	0.92060904
h2	h2_bootstrap_percentile	tiny	36	33	9	0.8	0.9	200	500	394	394	373	0.94670051	0.011316698	0.015113782	0.79619501
h2	h2_bootstrap_percentile	tiny	36	33	9	0.8	0.95	200	500	394	394	387	0.9822335	0.0066551856	0.010979908	0.9029762
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.2	0.9	0	500	351	351	341	0.97150997	0.0088800726	0.016012815	0.86809517
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.2	0.95	0	500	351	351	350	0.997151	0.0028449415	0.011633041	0.92479145
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.4	0.9	0	500	408	408	408	1	0	0.014852213	0.84288754
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.4	0.95	0	500	408	408	408	1	0	0.010789883	0.90796066
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.6	0.9	0	500	442	442	442	1	0	0.014269545	0.81773384
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.6	0.95	0	500	442	442	442	1	0	0.010366584	0.89007475
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.8	0.9	0	500	394	394	394	1	0	0.015113782	0.81227146
h2	h2_delta_t_family_df_probe	tiny	36	33	9	0.8	0.95	0	500	394	394	394	1	0	0.010979908	0.88910084
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.2	0.9	0	500	351	351	333	0.94871795	0.011773286	0.016012815	0.84160947
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.2	0.95	0	500	351	351	350	0.997151	0.0028449415	0.011633041	0.89864791
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.4	0.9	0	500	408	408	408	1	0	0.014852213	0.81339863
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.4	0.95	0	500	408	408	408	1	0	0.010789883	0.87759644
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.6	0.9	0	500	442	442	442	1	0	0.014269545	0.78561903
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.6	0.95	0	500	442	442	442	1	0	0.010366584	0.85602818
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.8	0.9	0	500	394	394	394	1	0	0.015113782	0.77809576
h2	h2_delta_t_residual_df_probe	tiny	36	33	9	0.8	0.95	0	500	394	394	394	1	0	0.010979908	0.85302044
h2	h2_delta_z	tiny	36	33	9	0.2	0.9	0	500	351	351	330	0.94017094	0.012659191	0.016012815	0.8315594
h2	h2_delta_z	tiny	36	33	9	0.2	0.95	0	500	351	351	347	0.98860399	0.0056654454	0.011633041	0.88825295
h2	h2_delta_z	tiny	36	33	9	0.4	0.9	0	500	408	408	408	1	0	0.014852213	0.80234222
