target	method	design	n_animals	residual_df	family_df	h2_true	level	n_boot	reps	fit_success	interval_success	covered	coverage	mcse_observed	mcse_nominal	mean_width
h2	h2_delta_t_family_df_probe	medium	240	237	45	0.2	0.9	0	500	487	487	468	0.96098563	0.0087741749	0.013594298	0.37264445
h2	h2_delta_t_family_df_probe	medium	240	237	45	0.2	0.95	0	500	487	487	474	0.97330595	0.0073041117	0.0098760283	0.44821927
h2	h2_delta_t_family_df_probe	medium	240	237	45	0.4	0.9	0	500	500	500	465	0.93	0.011410521	0.013416408	0.3798765
h2	h2_delta_t_family_df_probe	medium	240	237	45	0.4	0.95	0	500	500	500	490	0.98	0.0062609903	0.0097467943	0.44741802
h2	h2_delta_t_family_df_probe	medium	240	237	45	0.6	0.9	0	500	500	500	450	0.9	0.013416408	0.013416408	0.36804313
h2	h2_delta_t_family_df_probe	medium	240	237	45	0.6	0.95	0	500	500	500	474	0.948	0.0099293504	0.0097467943	0.43378731
h2	h2_delta_t_family_df_probe	medium	240	237	45	0.8	0.9	0	500	499	499	469	0.93987976	0.010641338	0.013429844	0.30344859
h2	h2_delta_t_family_df_probe	medium	240	237	45	0.8	0.95	0	500	499	499	485	0.97194389	0.0073923763	0.0097565558	0.36500987
h2	h2_delta_t_residual_df_probe	medium	240	237	45	0.2	0.9	0	500	487	487	468	0.96098563	0.0087741749	0.013594298	0.36618176
h2	h2_delta_t_residual_df_probe	medium	240	237	45	0.2	0.95	0	500	487	487	474	0.97330595	0.0073041117	0.0098760283	0.43843323
h2	h2_delta_t_residual_df_probe	medium	240	237	45	0.4	0.9	0	500	500	500	459	0.918	0.012269963	0.013416408	0.37402324
h2	h2_delta_t_residual_df_probe	medium	240	237	45	0.4	0.95	0	500	500	500	489	0.978	0.006559878	0.0097467943	0.43875666
h2	h2_delta_t_residual_df_probe	medium	240	237	45	0.6	0.9	0	500	500	500	445	0.89	0.013992855	0.013416408	0.36235392
h2	h2_delta_t_residual_df_probe	medium	240	237	45	0.6	0.95	0	500	500	500	468	0.936	0.010945684	0.0097467943	0.42534628
h2	h2_delta_t_residual_df_probe	medium	240	237	45	0.8	0.9	0	500	499	499	469	0.93987976	0.010641338	0.013429844	0.29827895
h2	h2_delta_t_residual_df_probe	medium	240	237	45	0.8	0.95	0	500	499	499	483	0.96793587	0.0078864715	0.0097565558	0.35691166
h2	h2_delta_z	medium	240	237	45	0.2	0.9	0	500	487	487	468	0.96098563	0.0087741749	0.013594298	0.36469627
h2	h2_delta_z	medium	240	237	45	0.2	0.95	0	500	487	487	474	0.97330595	0.0073041117	0.0098760283	0.43619168
h2	h2_delta_z	medium	240	237	45	0.4	0.9	0	500	500	500	458	0.916	0.01240516	0.013416408	0.37267593
h2	h2_delta_z	medium	240	237	45	0.4	0.95	0	500	500	500	488	0.976	0.0068445599	0.0097467943	0.43676959
h2	h2_delta_z	medium	240	237	45	0.6	0.9	0	500	500	500	445	0.89	0.013992855	0.013416408	0.36104455
h2	h2_delta_z	medium	240	237	45	0.6	0.95	0	500	500	500	467	0.934	0.011103513	0.0097467943	0.4234102
h2	h2_delta_z	medium	240	237	45	0.8	0.9	0	500	499	499	469	0.93987976	0.010641338	0.013429844	0.29709254
h2	h2_delta_z	medium	240	237	45	0.8	0.95	0	500	499	499	483	0.96793587	0.0078864715	0.0097565558	0.35506248
h2	h2_profile_chisq	medium	240	237	45	0.2	0.9	0	500	487	487	445	0.9137577	0.012720706	0.013594298	0.32171111
h2	h2_profile_chisq	medium	240	237	45	0.2	0.95	0	500	487	487	467	0.95893224	0.0089924907	0.0098760283	0.37938038
h2	h2_profile_chisq	medium	240	237	45	0.4	0.9	0	500	500	500	451	0.902	0.013296315	0.013416408	0.38149546
h2	h2_profile_chisq	medium	240	237	45	0.4	0.95	0	500	500	500	473	0.946	0.010107819	0.0097467943	0.44870405
h2	h2_profile_chisq	medium	240	237	45	0.6	0.9	0	500	500	500	443	0.886	0.014212952	0.013416408	0.36671479
h2	h2_profile_chisq	medium	240	237	45	0.6	0.95	0	500	500	500	469	0.938	0.010784804	0.0097467943	0.43017548
h2	h2_profile_chisq	medium	240	237	45	0.8	0.9	0	500	499	499	455	0.91182365	0.012693495	0.013429844	0.29180362
h2	h2_profile_chisq	medium	240	237	45	0.8	0.95	0	500	499	499	472	0.94589178	0.010127496	0.0097565558	0.34467818
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.2	0.9	0	500	487	487	428	0.8788501	0.014786128	0.013594298	0.34089655
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.2	0.95	0	500	487	487	451	0.92607803	0.011856215	0.0098760283	0.3935586
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.4	0.9	0	500	500	500	440	0.88	0.014532722	0.013416408	0.48687652
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.4	0.95	0	500	500	500	464	0.928	0.011559931	0.0097467943	0.58234575
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.6	0.9	0	500	500	500	430	0.86	0.015517732	0.013416408	0.55364984
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.6	0.95	0	500	500	500	451	0.902	0.013296315	0.0097467943	0.66392165
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.8	0.9	0	500	499	499	444	0.88977956	0.014019161	0.013429844	0.55145281
sigma_a2	sigma_a2_delta_t_family_df_probe	medium	240	237	45	0.8	0.95	0	500	499	499	467	0.93587174	0.010966868	0.0097565558	0.66134614
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.2	0.9	0	500	487	487	426	0.87474333	0.014999482	0.013594298	0.33606032
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.2	0.95	0	500	487	487	446	0.91581109	0.01258247	0.0098760283	0.38709802
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.4	0.9	0	500	500	500	439	0.878	0.014636666	0.013416408	0.47878088
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.4	0.95	0	500	500	500	461	0.922	0.011992998	0.0097467943	0.56993595
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.6	0.9	0	500	500	500	427	0.854	0.01579139	0.013416408	0.54438331
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.6	0.95	0	500	500	500	448	0.896	0.013651667	0.0097467943	0.64940352
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.8	0.9	0	500	499	499	441	0.88376754	0.014347706	0.013429844	0.54221975
sigma_a2	sigma_a2_delta_t_residual_df_probe	medium	240	237	45	0.8	0.95	0	500	499	499	466	0.93386774	0.011124977	0.0097565558	0.64687247
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.2	0.9	0	500	487	487	425	0.87268994	0.01510417	0.013594298	0.33494212
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.2	0.95	0	500	487	487	445	0.9137577	0.012720706	0.0098760283	0.38561321
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.4	0.9	0	500	500	500	439	0.878	0.014636666	0.013416408	0.47692157
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.4	0.95	0	500	500	500	461	0.922	0.011992998	0.0097467943	0.5671025
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.6	0.9	0	500	500	500	427	0.854	0.01579139	0.013416408	0.54225615
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.6	0.95	0	500	500	500	448	0.896	0.013651667	0.0097467943	0.64609008
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.8	0.9	0	500	499	499	439	0.87975952	0.014559856	0.013429844	0.54010028
sigma_a2	sigma_a2_delta_z	medium	240	237	45	0.8	0.95	0	500	499	499	466	0.93386774	0.011124977	0.0097565558	0.64356918
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.2	0.9	0	500	487	487	443	0.90965092	0.012990766	0.013594298	0.36599497
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.2	0.95	0	500	487	487	469	0.96303901	0.0085492739	0.0098760283	0.44110835
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.4	0.9	0	500	500	500	448	0.896	0.013651667	0.013416408	0.49522664
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.4	0.95	0	500	500	500	474	0.948	0.0099293504	0.0097467943	0.59405518
sigma_a2	sigma_a2_profile_chisq	medium	240	237	45	0.6	0.9	0	500	500	500	438	0.876	0.014739335	0.013416408	0.55027401
