m	mode	maxabs_G	maxrel_G	meanrel_G	gebv_maxabs	gebv_relL2	f64_s	f32_s	speedup	gpu	host	julia	gate_f64_vs_cpu
2000	default	2.71824e-06	2.40810e-01	3.85953e-06	3.37548e-06	1.49277e-06	0.089569	0.064255	1.394	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
5000	default	1.74114e-06	2.16558e-01	6.31677e-06	1.46325e-06	7.52411e-07	0.087367	0.168047	0.520	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
10000	default	2.05307e-06	1.18165e+00	1.30324e-05	1.08755e-06	4.76511e-07	0.225421	0.165687	1.361	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
20000	default	3.90870e-06	1.22044e+00	2.12032e-05	2.83108e-06	1.01256e-06	0.469722	0.344621	1.363	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
40000	default	4.04183e-06	2.18803e+00	3.52150e-05	2.79615e-06	7.63758e-07	0.922793	0.789055	1.169	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
80000	default	5.32012e-06	2.58774e+00	3.37863e-05	3.28544e-06	1.09513e-06	1.871166	1.775407	1.054	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
2000	pedantic_fp32	2.71824e-06	2.40810e-01	3.85953e-06	3.37548e-06	1.49277e-06	0.024316	0.022269	1.092	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
5000	pedantic_fp32	1.74114e-06	2.16558e-01	6.31677e-06	1.46325e-06	7.52411e-07	0.058931	0.046382	1.271	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
10000	pedantic_fp32	2.05307e-06	1.18165e+00	1.30324e-05	1.08755e-06	4.76511e-07	0.185107	0.144649	1.280	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
20000	pedantic_fp32	3.90870e-06	1.22044e+00	2.12032e-05	2.83108e-06	1.01256e-06	0.484864	0.345546	1.403	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
40000	pedantic_fp32	4.04183e-06	2.18803e+00	3.52150e-05	2.79615e-06	7.63758e-07	0.909481	0.786691	1.156	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
80000	pedantic_fp32	5.32012e-06	2.58774e+00	3.37863e-05	3.28544e-06	1.09513e-06	1.844859	1.746087	1.057	NVIDIA H100 80GB HBM3	tg10607.tamia.ecpia.ca	1.10.10	7.327e-15
