m	mode	maxabs_G	maxrel_G	meanrel_G	gebv_maxabs	gebv_relL2	f64_s	f32_s	speedup	gpu	host	julia	gate_f64_vs_cpu
2000	default	5.35158e-07	1.21684e-01	3.07111e-06	7.64029e-07	4.50923e-07	0.075685	0.024690	3.065	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
5000	default	7.91844e-07	4.62719e-01	4.74277e-06	6.29826e-07	3.58564e-07	0.063261	0.135834	0.466	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
10000	default	1.31497e-06	1.00000e+00	1.00731e-05	1.09906e-06	4.03097e-07	0.097343	0.073660	1.322	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
20000	default	1.70442e-06	7.86341e-01	1.48539e-05	7.27792e-07	3.42323e-07	0.178888	0.150588	1.188	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
40000	default	2.95918e-06	3.33894e+00	3.11030e-05	1.70225e-06	6.72395e-07	0.350106	0.309336	1.132	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
80000	default	3.50123e-06	2.87656e+00	3.07785e-05	1.99692e-06	6.64329e-07	0.699311	0.720200	0.971	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
2000	pedantic_fp32	5.35158e-07	1.21684e-01	3.07111e-06	7.64029e-07	4.50923e-07	0.018658	0.017409	1.072	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
5000	pedantic_fp32	7.91844e-07	4.62719e-01	4.74277e-06	6.29826e-07	3.58564e-07	0.042970	0.036441	1.179	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
10000	pedantic_fp32	1.31497e-06	1.00000e+00	1.00731e-05	1.09906e-06	4.03097e-07	0.078514	0.074873	1.049	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
20000	pedantic_fp32	1.70442e-06	7.86341e-01	1.48539e-05	7.27792e-07	3.42323e-07	0.178438	0.149904	1.190	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
40000	pedantic_fp32	2.95918e-06	3.33894e+00	3.11030e-05	1.70225e-06	6.72395e-07	0.350680	0.305989	1.146	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
80000	pedantic_fp32	3.50123e-06	2.87656e+00	3.07785e-05	1.99692e-06	6.64329e-07	0.707754	0.708369	0.999	NVIDIA A100-SXM4-40GB	ng20202	1.10.10	2.998e-15
