# HSquared.jl v0.8-S1 METIS-vs-AMD ordering benchmark (multi-effect MME)  2026-07-02T17:13:42.098
# host=fc30346  julia=1.10.10  OPENBLAS_NUM_THREADS=1
# LBTConfig([ILP64] libopenblas64_.so)
# sizes=[2000, 5000, 10000, 20000, 50000]  Ks=[1, 3]  trials=3
# BANKED-NEGATIVE harness. Metis is BENCHMARK-ONLY (NOT a package dependency). AMD = CHOLMOD default cholesky ordering; METIS = Metis.permutation nested dissection supplied via cholesky(C; perm=...).
q	K	N	nnz_C	nnz_L_amd	nnz_L_metis	fill_gain	t_amd_s	t_metis_s	speed_gain
2000	1	2001	13361	7761	7681	1.010	0.00034	0.00022	1.529
2000	3	2167	25281	86068	48365	1.780	0.00270	0.00186	1.450
5000	1	5001	33401	19401	19201	1.010	0.00079	0.00051	1.530
5000	3	5417	64051	281470	195697	1.438	0.00834	0.00617	1.350
10000	1	10001	66801	38801	38401	1.010	0.00166	0.00113	1.474
10000	3	10834	128708	802580	776091	1.034	0.02194	0.01898	1.156
20000	1	20001	133601	77601	76801	1.010	0.00348	0.00244	1.423
20000	3	21667	257959	2404054	2382707	1.009	0.06907	0.07003	0.986
50000	1	50001	334001	194001	192001	1.010	0.00887	0.00664	1.336
50000	3	54167	645877	11518369	28473828	0.405	0.49795	1.58200	0.315
