# HSquared.jl v0.8-S2 matrix-free-PCG vs direct-Cholesky multi-effect SOLVE benchmark  2026-07-02T17:17:04.837
# host=fc30564  julia=1.10.10  JULIA_NUM_THREADS=1  OPENBLAS_NUM_THREADS=1
# LBTConfig([ILP64] libopenblas64_.so)
# K=3  trials=5  nseeds=5  direct_trials=3  direct_seeds=2  direct_cap_nnzL=60000000  pcg_tol=1.0e-8  pcg_maxiter=5000  base_seed=20260702
# overlap_sizes(both paths)=[2000, 5000, 10000, 20000, 50000]  matfree_only_sizes=[100000, 200000, 500000, 1000000]  supplied_sigmas=[1.0, 0.5, 0.5]  sigma_e2=1.0
# loadavg1_at_start=140.02  free_mem_GB=625.9  total_mem_GB=755.4
# SOLVE-only (supplied variances), NOT a full REML fit. matrix-free PCG is Jacobi-preconditioned iterative; direct is exact Cholesky. same-solution + PCG iters/relres recorded per row. OPT-IN measurement; claim+decision-rule+scope in the pre-declaration.
size_q	K	n	path	seed	trial	wall_s	pcg_iters	pcg_relres	converged	nnz_L_direct	max_alloc_bytes	same_sol_maxabs	loadavg1
2000	3	2000	matfree_pcg	20260702	1	0.001199	42	8.094e-09	true	85481	6771824	1.939e-06	140.02
2000	3	2000	matfree_pcg	20260702	2	0.001206	42	8.094e-09	true	85481	6771824	1.939e-06	140.02
2000	3	2000	matfree_pcg	20260702	3	0.001201	42	8.094e-09	true	85481	6771824	1.939e-06	140.02
2000	3	2000	matfree_pcg	20260702	4	0.001176	42	8.094e-09	true	85481	6771824	1.939e-06	140.02
2000	3	2000	matfree_pcg	20260702	5	0.001188	42	8.094e-09	true	85481	6771824	1.939e-06	140.02
2000	3	2000	matfree_pcg	20260703	1	0.001241	42	6.040e-09	true	85984	6771824	1.692e-06	140.02
2000	3	2000	matfree_pcg	20260703	2	0.001223	42	6.040e-09	true	85984	6771824	1.692e-06	140.02
2000	3	2000	matfree_pcg	20260703	3	0.001199	42	6.040e-09	true	85984	6771824	1.692e-06	140.02
2000	3	2000	matfree_pcg	20260703	4	0.001207	42	6.040e-09	true	85984	6771824	1.692e-06	140.02
2000	3	2000	matfree_pcg	20260703	5	0.001242	42	6.040e-09	true	85984	6771824	1.692e-06	140.02
2000	3	2000	matfree_pcg	20260704	1	0.001196	42	5.993e-09	true	-1	6771824	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260704	2	0.001198	42	5.993e-09	true	-1	6771824	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260704	3	0.001192	42	5.993e-09	true	-1	6771824	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260704	4	0.001216	42	5.993e-09	true	-1	6771824	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260704	5	0.001213	42	5.993e-09	true	-1	6771824	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260705	1	0.001198	42	5.657e-09	true	-1	6771824	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260705	2	0.001212	42	5.657e-09	true	-1	6771824	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260705	3	0.001212	42	5.657e-09	true	-1	6771824	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260705	4	0.001220	42	5.657e-09	true	-1	6771824	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260705	5	0.001220	42	5.657e-09	true	-1	6771824	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260706	1	0.001196	41	8.299e-09	true	-1	6636832	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260706	2	0.001174	41	8.299e-09	true	-1	6636832	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260706	3	0.001190	41	8.299e-09	true	-1	6636832	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260706	4	0.001198	41	8.299e-09	true	-1	6636832	-1.000e+00	141.22
2000	3	2000	matfree_pcg	20260706	5	0.001195	41	8.299e-09	true	-1	6636832	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260702	1	0.002647	40	9.320e-09	true	285815	16100816	7.236e-06	141.22
5000	3	5000	matfree_pcg	20260702	2	0.002628	40	9.320e-09	true	285815	16100816	7.236e-06	141.22
5000	3	5000	matfree_pcg	20260702	3	0.002633	40	9.320e-09	true	285815	16100816	7.236e-06	141.22
5000	3	5000	matfree_pcg	20260702	4	0.002596	40	9.320e-09	true	285815	16100816	7.236e-06	141.22
5000	3	5000	matfree_pcg	20260702	5	0.002595	40	9.320e-09	true	285815	16100816	7.236e-06	141.22
5000	3	5000	matfree_pcg	20260703	1	0.002711	41	6.989e-09	true	283349	16435584	4.291e-06	141.22
5000	3	5000	matfree_pcg	20260703	2	0.002658	41	6.989e-09	true	283349	16435584	4.291e-06	141.22
5000	3	5000	matfree_pcg	20260703	3	0.002657	41	6.989e-09	true	283349	16435584	4.291e-06	141.22
5000	3	5000	matfree_pcg	20260703	4	0.002681	41	6.989e-09	true	283349	16435584	4.291e-06	141.22
5000	3	5000	matfree_pcg	20260703	5	0.002683	41	6.989e-09	true	283349	16435584	4.291e-06	141.22
5000	3	5000	matfree_pcg	20260704	1	0.002656	41	9.936e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260704	2	0.002617	41	9.936e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260704	3	0.002621	41	9.936e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260704	4	0.002608	41	9.936e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260704	5	0.002598	41	9.936e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260705	1	0.002680	41	7.192e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260705	2	0.002641	41	7.192e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260705	3	0.002608	41	7.192e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260705	4	0.002626	41	7.192e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260705	5	0.002620	41	7.192e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260706	1	0.002663	41	7.659e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260706	2	0.002604	41	7.659e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260706	3	0.002595	41	7.659e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260706	4	0.002596	41	7.659e-09	true	-1	16435584	-1.000e+00	141.22
5000	3	5000	matfree_pcg	20260706	5	0.002581	41	7.659e-09	true	-1	16435584	-1.000e+00	141.22
10000	3	10000	matfree_pcg	20260702	1	0.005608	40	7.637e-09	true	789623	32296944	8.374e-06	141.22
10000	3	10000	matfree_pcg	20260702	2	0.005056	40	7.637e-09	true	789623	32296944	8.374e-06	141.22
10000	3	10000	matfree_pcg	20260702	3	0.005060	40	7.637e-09	true	789623	32296944	8.374e-06	141.22
10000	3	10000	matfree_pcg	20260702	4	0.005049	40	7.637e-09	true	789623	32296944	8.374e-06	141.22
10000	3	10000	matfree_pcg	20260702	5	0.005016	40	7.637e-09	true	789623	32296944	8.374e-06	141.22
10000	3	10000	matfree_pcg	20260703	1	0.005049	40	7.251e-09	true	799620	32296944	9.313e-06	141.22
10000	3	10000	matfree_pcg	20260703	2	0.005149	40	7.251e-09	true	799620	32296944	9.313e-06	141.22
10000	3	10000	matfree_pcg	20260703	3	0.005063	40	7.251e-09	true	799620	32296944	9.313e-06	141.22
10000	3	10000	matfree_pcg	20260703	4	0.005058	40	7.251e-09	true	799620	32296944	9.313e-06	141.22
10000	3	10000	matfree_pcg	20260703	5	0.005088	40	7.251e-09	true	799620	32296944	9.313e-06	141.22
10000	3	10000	matfree_pcg	20260704	1	0.005142	40	8.029e-09	true	-1	32296944	-1.000e+00	141.22
10000	3	10000	matfree_pcg	20260704	2	0.005143	40	8.029e-09	true	-1	32296944	-1.000e+00	141.22
10000	3	10000	matfree_pcg	20260704	3	0.005180	40	8.029e-09	true	-1	32296944	-1.000e+00	141.22
10000	3	10000	matfree_pcg	20260704	4	0.005174	40	8.029e-09	true	-1	32296944	-1.000e+00	141.22
10000	3	10000	matfree_pcg	20260704	5	0.005237	40	8.029e-09	true	-1	32296944	-1.000e+00	141.22
10000	3	10000	matfree_pcg	20260705	1	0.005173	40	8.320e-09	true	-1	32296944	-1.000e+00	142.72
10000	3	10000	matfree_pcg	20260705	2	0.005196	40	8.320e-09	true	-1	32296944	-1.000e+00	142.72
10000	3	10000	matfree_pcg	20260705	3	0.005270	40	8.320e-09	true	-1	32296944	-1.000e+00	142.72
10000	3	10000	matfree_pcg	20260705	4	0.005243	40	8.320e-09	true	-1	32296944	-1.000e+00	142.72
10000	3	10000	matfree_pcg	20260705	5	0.005186	40	8.320e-09	true	-1	32296944	-1.000e+00	142.72
10000	3	10000	matfree_pcg	20260706	1	0.005224	40	8.076e-09	true	-1	32296944	-1.000e+00	142.72
10000	3	10000	matfree_pcg	20260706	2	0.005245	40	8.076e-09	true	-1	32296944	-1.000e+00	142.72
10000	3	10000	matfree_pcg	20260706	3	0.005191	40	8.076e-09	true	-1	32296944	-1.000e+00	142.72
10000	3	10000	matfree_pcg	20260706	4	0.005247	40	8.076e-09	true	-1	32296944	-1.000e+00	142.72
10000	3	10000	matfree_pcg	20260706	5	0.005180	40	8.076e-09	true	-1	32296944	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260702	1	0.010643	40	5.935e-09	true	2390549	17888048	9.430e-06	142.72
20000	3	20000	matfree_pcg	20260702	2	0.010645	40	5.935e-09	true	2390549	17888048	9.430e-06	142.72
20000	3	20000	matfree_pcg	20260702	3	0.010645	40	5.935e-09	true	2390549	17888048	9.430e-06	142.72
20000	3	20000	matfree_pcg	20260702	4	0.010667	40	5.935e-09	true	2390549	17888048	9.430e-06	142.72
20000	3	20000	matfree_pcg	20260702	5	0.010626	40	5.935e-09	true	2390549	17888048	9.430e-06	142.72
20000	3	20000	matfree_pcg	20260703	1	0.010201	40	5.842e-09	true	2396090	17888048	1.129e-05	142.72
20000	3	20000	matfree_pcg	20260703	2	0.010237	40	5.842e-09	true	2396090	17888048	1.129e-05	142.72
20000	3	20000	matfree_pcg	20260703	3	0.010307	40	5.842e-09	true	2396090	17888048	1.129e-05	142.72
20000	3	20000	matfree_pcg	20260703	4	0.010300	40	5.842e-09	true	2396090	17888048	1.129e-05	142.72
20000	3	20000	matfree_pcg	20260703	5	0.010257	40	5.842e-09	true	2396090	17888048	1.129e-05	142.72
20000	3	20000	matfree_pcg	20260704	1	0.010511	40	5.711e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260704	2	0.010456	40	5.711e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260704	3	0.010520	40	5.711e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260704	4	0.010489	40	5.711e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260704	5	0.010502	40	5.711e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260705	1	0.010539	40	5.880e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260705	2	0.010635	40	5.880e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260705	3	0.010589	40	5.880e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260705	4	0.010568	40	5.880e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260705	5	0.010381	40	5.880e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260706	1	0.010432	40	5.757e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260706	2	0.010387	40	5.757e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260706	3	0.010363	40	5.757e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260706	4	0.010352	40	5.757e-09	true	-1	17888048	-1.000e+00	142.72
20000	3	20000	matfree_pcg	20260706	5	0.010425	40	5.757e-09	true	-1	17888048	-1.000e+00	142.72
50000	3	50000	matfree_pcg	20260702	1	0.028030	39	7.571e-09	true	11524457	17608608	1.502e-05	144.26
50000	3	50000	matfree_pcg	20260702	2	0.027580	39	7.571e-09	true	11524457	17608608	1.502e-05	144.26
50000	3	50000	matfree_pcg	20260702	3	0.027719	39	7.571e-09	true	11524457	17608608	1.502e-05	144.26
50000	3	50000	matfree_pcg	20260702	4	0.027668	39	7.571e-09	true	11524457	17608608	1.502e-05	144.26
50000	3	50000	matfree_pcg	20260702	5	0.027583	39	7.571e-09	true	11524457	17608608	1.502e-05	144.26
50000	3	50000	matfree_pcg	20260703	1	0.028213	39	7.704e-09	true	11508973	17608608	1.999e-05	145.52
50000	3	50000	matfree_pcg	20260703	2	0.028072	39	7.704e-09	true	11508973	17608608	1.999e-05	145.52
50000	3	50000	matfree_pcg	20260703	3	0.028066	39	7.704e-09	true	11508973	17608608	1.999e-05	145.52
50000	3	50000	matfree_pcg	20260703	4	0.028048	39	7.704e-09	true	11508973	17608608	1.999e-05	145.52
50000	3	50000	matfree_pcg	20260703	5	0.028107	39	7.704e-09	true	11508973	17608608	1.999e-05	145.52
50000	3	50000	matfree_pcg	20260704	1	0.027647	39	7.922e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260704	2	0.027450	39	7.922e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260704	3	0.027390	39	7.922e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260704	4	0.027226	39	7.922e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260704	5	0.027005	39	7.922e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260705	1	0.027722	39	7.861e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260705	2	0.027876	39	7.861e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260705	3	0.027645	39	7.861e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260705	4	0.027780	39	7.861e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260705	5	0.027784	39	7.861e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260706	1	0.027900	39	7.850e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260706	2	0.027776	39	7.850e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260706	3	0.027791	39	7.850e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260706	4	0.027843	39	7.850e-09	true	-1	17608608	-1.000e+00	145.52
50000	3	50000	matfree_pcg	20260706	5	0.027669	39	7.850e-09	true	-1	17608608	-1.000e+00	145.52
100000	3	100000	matfree_pcg	20260702	1	0.080730	38	9.768e-09	true	-1	26738544	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260702	2	0.078306	38	9.768e-09	true	-1	26738544	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260702	3	0.077962	38	9.768e-09	true	-1	26738544	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260702	4	0.078295	38	9.768e-09	true	-1	26738544	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260702	5	0.078235	38	9.768e-09	true	-1	26738544	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260703	1	0.075923	38	8.124e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260703	2	0.075809	38	8.124e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260703	3	0.075912	38	8.124e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260703	4	0.076389	38	8.124e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260703	5	0.076032	38	8.124e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260704	1	0.079582	38	8.558e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260704	2	0.076067	38	8.558e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260704	3	0.076152	38	8.558e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260704	4	0.075976	38	8.558e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260704	5	0.076361	38	8.558e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260705	1	0.077094	38	9.768e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260705	2	0.076685	38	9.768e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260705	3	0.077104	38	9.768e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260705	4	0.076764	38	9.768e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260705	5	0.076750	38	9.768e-09	true	-1	31006064	-1.000e+00	146.44
100000	3	100000	matfree_pcg	20260706	1	0.077691	38	8.799e-09	true	-1	31006064	-1.000e+00	147.13
100000	3	100000	matfree_pcg	20260706	2	0.077817	38	8.799e-09	true	-1	31006064	-1.000e+00	147.13
100000	3	100000	matfree_pcg	20260706	3	0.077616	38	8.799e-09	true	-1	31006064	-1.000e+00	147.13
100000	3	100000	matfree_pcg	20260706	4	0.077606	38	8.799e-09	true	-1	31006064	-1.000e+00	147.13
100000	3	100000	matfree_pcg	20260706	5	0.077608	38	8.799e-09	true	-1	31006064	-1.000e+00	147.13
200000	3	200000	matfree_pcg	20260702	1	0.197283	38	5.888e-09	true	-1	81741328	-1.000e+00	147.13
200000	3	200000	matfree_pcg	20260702	2	0.193628	38	5.888e-09	true	-1	81741328	-1.000e+00	147.13
200000	3	200000	matfree_pcg	20260702	3	0.193531	38	5.888e-09	true	-1	81741328	-1.000e+00	147.13
200000	3	200000	matfree_pcg	20260702	4	0.195009	38	5.888e-09	true	-1	81741328	-1.000e+00	147.13
200000	3	200000	matfree_pcg	20260702	5	0.195515	38	5.888e-09	true	-1	81741328	-1.000e+00	147.13
200000	3	200000	matfree_pcg	20260703	1	0.183766	38	5.744e-09	true	-1	30403920	-1.000e+00	148.80
200000	3	200000	matfree_pcg	20260703	2	0.186952	38	5.744e-09	true	-1	30403920	-1.000e+00	148.80
200000	3	200000	matfree_pcg	20260703	3	0.186104	38	5.744e-09	true	-1	30403920	-1.000e+00	148.80
200000	3	200000	matfree_pcg	20260703	4	0.186156	38	5.744e-09	true	-1	30403920	-1.000e+00	148.80
200000	3	200000	matfree_pcg	20260703	5	0.186155	38	5.744e-09	true	-1	30403920	-1.000e+00	148.80
200000	3	200000	matfree_pcg	20260704	1	0.182076	38	6.493e-09	true	-1	30403920	-1.000e+00	150.98
200000	3	200000	matfree_pcg	20260704	2	0.183870	38	6.493e-09	true	-1	30403920	-1.000e+00	150.98
200000	3	200000	matfree_pcg	20260704	3	0.185462	38	6.493e-09	true	-1	30403920	-1.000e+00	150.98
200000	3	200000	matfree_pcg	20260704	4	0.184157	38	6.493e-09	true	-1	30403920	-1.000e+00	150.98
200000	3	200000	matfree_pcg	20260704	5	0.184585	38	6.493e-09	true	-1	30403920	-1.000e+00	150.98
200000	3	200000	matfree_pcg	20260705	1	0.180114	38	6.026e-09	true	-1	30403920	-1.000e+00	150.98
200000	3	200000	matfree_pcg	20260705	2	0.181446	38	6.026e-09	true	-1	30403920	-1.000e+00	150.98
200000	3	200000	matfree_pcg	20260705	3	0.195695	38	6.026e-09	true	-1	30403920	-1.000e+00	150.98
200000	3	200000	matfree_pcg	20260705	4	0.185928	38	6.026e-09	true	-1	30403920	-1.000e+00	150.98
200000	3	200000	matfree_pcg	20260705	5	0.184808	38	6.026e-09	true	-1	30403920	-1.000e+00	150.98
200000	3	200000	matfree_pcg	20260706	1	0.185736	38	6.028e-09	true	-1	30403920	-1.000e+00	147.86
200000	3	200000	matfree_pcg	20260706	2	0.188577	38	6.028e-09	true	-1	30403920	-1.000e+00	147.86
200000	3	200000	matfree_pcg	20260706	3	0.188926	38	6.028e-09	true	-1	30403920	-1.000e+00	147.86
200000	3	200000	matfree_pcg	20260706	4	0.188540	38	6.028e-09	true	-1	30403920	-1.000e+00	147.86
200000	3	200000	matfree_pcg	20260706	5	0.188318	38	6.028e-09	true	-1	30403920	-1.000e+00	147.86
500000	3	500000	matfree_pcg	20260702	1	0.421384	37	8.152e-09	true	-1	142472784	-1.000e+00	144.52
500000	3	500000	matfree_pcg	20260702	2	0.446945	37	8.152e-09	true	-1	142472784	-1.000e+00	144.52
500000	3	500000	matfree_pcg	20260702	3	0.410125	37	8.152e-09	true	-1	142472784	-1.000e+00	144.52
500000	3	500000	matfree_pcg	20260702	4	0.410395	37	8.152e-09	true	-1	142472784	-1.000e+00	144.52
500000	3	500000	matfree_pcg	20260702	5	0.413937	37	8.152e-09	true	-1	142472784	-1.000e+00	144.52
500000	3	500000	matfree_pcg	20260703	1	0.411513	37	8.187e-09	true	-1	38002304	-1.000e+00	141.87
500000	3	500000	matfree_pcg	20260703	2	0.413325	37	8.187e-09	true	-1	38002304	-1.000e+00	141.87
500000	3	500000	matfree_pcg	20260703	3	0.413435	37	8.187e-09	true	-1	38002304	-1.000e+00	141.87
500000	3	500000	matfree_pcg	20260703	4	0.412707	37	8.187e-09	true	-1	38002304	-1.000e+00	141.87
500000	3	500000	matfree_pcg	20260703	5	0.413439	37	8.187e-09	true	-1	38002304	-1.000e+00	141.87
500000	3	500000	matfree_pcg	20260704	1	0.410892	37	8.088e-09	true	-1	38002304	-1.000e+00	139.73
500000	3	500000	matfree_pcg	20260704	2	0.410587	37	8.088e-09	true	-1	38002304	-1.000e+00	139.73
500000	3	500000	matfree_pcg	20260704	3	0.415383	37	8.088e-09	true	-1	38002304	-1.000e+00	139.73
500000	3	500000	matfree_pcg	20260704	4	0.407247	37	8.088e-09	true	-1	38002304	-1.000e+00	139.73
500000	3	500000	matfree_pcg	20260704	5	0.410264	37	8.088e-09	true	-1	38002304	-1.000e+00	139.73
500000	3	500000	matfree_pcg	20260705	1	0.415742	37	8.133e-09	true	-1	38002304	-1.000e+00	138.12
