# HSquared.jl v0.8-S2-FIT matrix-free MC-EM-REML RECOVERY gate  2026-07-02T20:31:42.655
# host=fc30611  julia=1.10.10  OPENBLAS_NUM_THREADS=1
# q=960  nseeds=48  nprobe=200  base_seed=20260800  truth=[1.0, 0.5, 0.5, 1.0]  K=3 (animal-A + 2 pedigree-independent env factors)
# PRIMARY criterion (pre-declared): all seeds converged AND max over seeds of |MC - EXACT|/EXACT <= mcvx_tol -- i.e. the matrix-free MC fit REPRODUCES the exact AI-REML fit (the covered V3-NEFFECT-REML estimator) on the same data; the MC approximation must not distort the estimate. SECONDARY (informational): |mean bias vs truth| <= 2*MCSE per component -- a joint estimator+DGP property the EXACT fit shares (its own small-sample recovery is the covered V3-NEFFECT-REML gate, NOT re-litigated here).
seed	converged	mc_sa2	mc_se1	mc_se2	mc_se	ex_sa2	ex_se1	ex_se2	ex_se	max_mc_vs_ex_reldiff
20260801	true	1.10689	0.51708	0.76735	1.00082	1.09020	0.51887	0.76790	1.01019	1.5306e-02
20260802	true	1.08005	0.55150	0.37520	0.84403	1.10510	0.55466	0.37639	0.82956	2.2667e-02
20260803	true	0.92807	0.48536	0.68111	0.94489	0.92047	0.48510	0.67920	0.94939	8.2663e-03
20260804	true	1.08255	0.67023	0.68457	0.90996	1.05472	0.67069	0.68346	0.92585	2.6389e-02
20260805	true	0.90226	0.53157	0.68199	1.07264	0.92097	0.53355	0.68217	1.06108	2.0310e-02
20260806	true	1.07862	0.53780	0.47078	0.97006	1.09945	0.53775	0.47157	0.95818	1.8947e-02
20260807	true	1.36574	0.28164	0.33863	0.90106	1.36264	0.28219	0.33804	0.90281	2.2775e-03
20260808	true	0.73487	0.52779	0.70098	1.12563	0.74149	0.52846	0.70113	1.12129	8.9369e-03
20260809	true	1.14888	0.37397	0.57905	0.90974	1.14106	0.37428	0.58007	0.91409	6.8531e-03
20260810	true	1.17130	0.37169	0.43995	0.84339	1.15151	0.37144	0.43729	0.85476	1.7192e-02
20260811	true	0.94566	0.44827	0.43955	1.01334	0.94944	0.44911	0.44119	1.01071	3.9832e-03
20260812	true	1.07926	0.43555	0.45422	1.11261	1.09456	0.43356	0.45385	1.10419	1.3980e-02
20260813	true	1.07579	0.57793	0.27390	1.17361	1.08621	0.57914	0.27348	1.16752	9.5909e-03
20260814	true	1.08852	0.58737	0.41542	0.99093	1.08397	0.58495	0.41567	0.99391	4.1978e-03
20260815	true	0.86169	0.45543	0.32246	1.04610	0.85877	0.45546	0.32469	1.04741	6.8662e-03
20260816	true	0.83094	0.33851	0.41167	1.20484	0.83375	0.33870	0.41063	1.20308	3.3678e-03
20260817	true	1.26621	0.43072	0.74324	0.78292	1.26232	0.43170	0.74094	0.78511	3.1041e-03
20260818	true	1.09266	0.35996	0.47780	0.86109	1.11486	0.36112	0.47647	0.84866	1.9907e-02
20260819	true	1.21152	0.49119	0.54949	0.92686	1.21324	0.49172	0.54898	0.92597	1.4129e-03
20260820	true	0.81223	0.54434	0.50037	1.15468	0.79897	0.54398	0.49892	1.16288	1.6605e-02
20260821	true	1.00575	0.65820	0.58851	0.95330	0.99884	0.66242	0.58521	0.95719	6.9169e-03
20260822	true	1.08102	0.32967	0.44690	1.01893	1.07101	0.33034	0.44430	1.02495	9.3485e-03
20260823	true	0.80701	0.41578	0.36817	1.08952	0.80480	0.41538	0.36921	1.09068	2.8139e-03
20260824	true	0.97476	0.56435	0.69138	1.07038	0.96286	0.56563	0.69673	1.07669	1.2365e-02
20260825	true	1.08326	0.32387	0.40480	0.96188	1.10197	0.32485	0.40507	0.95109	1.6979e-02
20260826	true	0.90997	0.49548	0.70486	1.11791	0.90362	0.49497	0.70466	1.12168	7.0281e-03
20260827	true	1.17630	0.55472	0.58521	0.89789	1.19447	0.55287	0.58577	0.88803	1.5215e-02
20260828	true	1.14941	0.55729	0.59224	1.04133	1.16902	0.55805	0.59297	1.03005	1.6772e-02
20260829	true	1.06105	0.43714	0.54844	0.99353	1.06414	0.43752	0.54966	0.99169	2.8978e-03
20260830	true	0.97712	0.33545	0.53839	1.01974	0.99343	0.33616	0.53679	1.01012	1.6417e-02
20260831	true	1.37668	0.43295	0.37250	0.86848	1.36534	0.43317	0.37399	0.87451	8.3024e-03
20260832	true	0.78392	0.53398	0.80978	1.15598	0.79445	0.53344	0.81467	1.14911	1.3253e-02
20260833	true	1.07129	0.52990	0.23135	1.00335	1.06084	0.52746	0.23039	1.00998	9.8490e-03
20260834	true	0.85630	0.50249	0.43329	1.03422	0.86830	0.50300	0.43470	1.02673	1.3815e-02
20260835	true	0.65903	0.55429	0.26960	1.24915	0.66741	0.55419	0.27120	1.24337	1.2564e-02
20260836	true	0.89209	0.49554	0.52573	1.01630	0.89128	0.49488	0.52226	1.01709	6.6438e-03
20260837	true	0.88615	0.42044	0.67596	0.97726	0.87478	0.42143	0.67314	0.98389	1.2999e-02
20260838	true	1.17279	0.37735	0.30888	0.82386	1.18750	0.37719	0.30955	0.81577	1.2388e-02
20260839	true	1.09276	0.69733	0.37239	0.89155	1.08166	0.69671	0.37217	0.89800	1.0258e-02
20260840	true	0.98784	0.75526	0.45757	0.93266	1.00296	0.75445	0.45609	0.92429	1.5071e-02
20260841	true	1.21500	0.40112	0.46601	0.96906	1.23479	0.40151	0.46762	0.95781	1.6031e-02
20260842	true	1.05334	0.58438	0.50430	0.82004	1.05762	0.58563	0.50339	0.81768	4.0428e-03
20260843	true	1.08626	0.51611	0.78362	0.89766	1.07546	0.51533	0.78669	0.90377	1.0048e-02
