# HSquared.jl S5 matrix-free tail-scale known-truth recovery gate  2026-09-01T18:27:06.908
# host=totoro  julia=1.10.10  threads=1  OPENBLAS_NUM_THREADS=1  SMOKE=false
# julia=VERSION is load-bearing, not decorative: a MersenneTwister stream is not assumed portable across Julia versions for this fixture (Slice-B finding).
# Q_TAIL=25000  N_ANCHOR=2000  iterations_cap=200  nprobe_gate=64  nprobe_info=256  capreset_iterations=1000
# Leg A seeds: dgp=20269500:20269547 (n=48)  mc=dgp+500000
# Leg X seeds: dgp=20269200:20269207 (n=8)  mc=dgp+500000 (SAME mc seed reused for nprobe=64 and nprobe=256 arms)
# truth: mu=5.0 sigma_a2=1.0 sigma_e2=1.0 (h2=0.5, interior/off-boundary)
# PRIMARY (Leg A, pre-declared, GATE=A1∧A2∧A3): A1 mean rel.err vs truth over graceful=(CONVERGED∪CAP_EXHAUSTED) seeds <= 0.05 each component; A2 NON_GRACEFUL count = 0 (bound calibrated for the full n=48 run); A3 CAP_EXHAUSTED count <= 4 (bound calibrated for the full n=48 run). This run's actual n=48.
# SECONDARY/informational (Leg A): bias, MCSE, converged-only-subset A1, iterations-to-outcome min/median/max, capreset(iterations=1000) re-fit for CAP_EXHAUSTED seeds, ANOMALY_ITER_MISMATCH count (unanticipated third failure mechanism, no gating consequence declared in the predeclaration).
# PRIMARY (Leg X, pre-declared, GATE): mean |signed relative difference| (matrix_free-exact)/exact across 8 seeds <= AGREE_TOL_MC=0.05 for sigma_a2 AND sigma_e2, at nprobe=64 (the untested function default).
# SECONDARY/informational (Leg X): SD and max of |relative difference|; nprobe=256 arm's mean |relative difference| (does NOT gate); iterations-to-outcome distribution both arms.
# Overall GATE = Leg A ∧ Leg X. PASS discharges validation-debt-register.md:57 item (1) for V1-MATFREE-REML and narrows item (3) at q=25000 only. Promotes NOTHING: public_covered_count stays 5 regardless of outcome.
# FULL pre-declared run.
#
# ---- Leg A ----
seed	dgp_seed	mc_seed	outcome	converged	iterations	sigma_a2	sigma_e2	rel_err_sa2	rel_err_se2	fill	wall_s	capreset_iterations1000_sigma_a2	capreset_iterations1000_sigma_e2	capreset_iterations1000_converged
1	20269500	20769500	CONVERGED	true	59	0.989036	0.981593	0.010964	0.018407	580.186	59.878			
2	20269501	20769501	CONVERGED	true	60	1.023798	0.994933	0.023798	0.005067	592.711	56.343			
3	20269502	20769502	CONVERGED	true	59	1.021071	0.984396	0.021071	0.015604	574.581	54.699			
4	20269503	20769503	CONVERGED	true	58	1.006745	1.010597	0.006745	0.010597	583.872	54.308			
5	20269504	20769504	CONVERGED	true	56	0.985254	1.009766	0.014746	0.009766	583.976	52.503			
6	20269505	20769505	CONVERGED	true	56	1.002147	1.001948	0.002147	0.001948	573.212	51.471			
7	20269506	20769506	CONVERGED	true	58	0.997223	0.968985	0.002777	0.031015	579.619	53.866			
8	20269507	20769507	CONVERGED	true	57	0.979157	1.002852	0.020843	0.002852	575.793	54.110			
9	20269508	20769508	CONVERGED	true	55	0.964239	1.028540	0.035761	0.028540	571.438	52.794			
10	20269509	20769509	CONVERGED	true	56	0.993217	1.037380	0.006783	0.037380	582.213	53.289			
11	20269510	20769510	CONVERGED	true	60	1.027205	0.986684	0.027205	0.013316	580.614	54.950			
12	20269511	20769511	CONVERGED	true	59	1.018204	1.008535	0.018204	0.008535	578.580	54.236			
13	20269512	20769512	CONVERGED	true	58	1.035759	0.986529	0.035759	0.013471	582.263	52.642			
14	20269513	20769513	CONVERGED	true	58	1.015814	0.998722	0.015814	0.001278	579.271	51.812			
15	20269514	20769514	CONVERGED	true	59	1.046820	0.978303	0.046820	0.021697	581.964	51.783			
16	20269515	20769515	CONVERGED	true	56	0.988475	1.012584	0.011525	0.012584	582.843	50.087			
17	20269516	20769516	CONVERGED	true	61	1.056084	0.981375	0.056084	0.018625	579.015	53.344			
18	20269517	20769517	CONVERGED	true	60	1.035218	0.986071	0.035218	0.013929	578.894	53.006			
19	20269518	20769518	CONVERGED	true	55	0.964543	1.012577	0.035457	0.012577	589.156	49.495			
20	20269519	20769519	CONVERGED	true	54	0.959077	1.009628	0.040923	0.009628	588.736	48.636			
21	20269520	20769520	CONVERGED	true	56	0.979962	1.014970	0.020038	0.014970	580.035	50.573			
22	20269521	20769521	CONVERGED	true	59	1.023595	0.981620	0.023595	0.018380	589.428	52.476			
23	20269522	20769522	CONVERGED	true	52	0.940357	1.021420	0.059643	0.021420	596.505	48.125			
24	20269523	20769523	CONVERGED	true	58	1.054046	0.956480	0.054046	0.043520	579.431	50.241			
25	20269524	20769524	CONVERGED	true	57	0.983143	1.024628	0.016857	0.024628	586.443	51.648			
26	20269525	20769525	CONVERGED	true	57	1.023185	0.959082	0.023185	0.040918	576.860	49.136			
27	20269526	20769526	CONVERGED	true	56	0.973691	1.031123	0.026309	0.031123	589.157	51.032			
28	20269527	20769527	CONVERGED	true	57	0.993703	1.008415	0.006297	0.008415	585.139	51.402			
29	20269528	20769528	CONVERGED	true	56	0.996024	1.009126	0.003976	0.009126	589.484	49.769			
30	20269529	20769529	CONVERGED	true	62	1.035175	0.994597	0.035175	0.005403	579.932	54.573			
31	20269530	20769530	CONVERGED	true	54	0.970669	1.006361	0.029331	0.006361	584.014	48.249			
32	20269531	20769531	CONVERGED	true	60	1.040415	0.972954	0.040415	0.027046	590.413	51.768			
33	20269532	20769532	CONVERGED	true	56	0.965196	1.021217	0.034804	0.021217	586.998	50.585			
34	20269533	20769533	CONVERGED	true	59	1.033932	0.958473	0.033932	0.041527	576.250	50.824			
