n	m	seed	type1
500	2000	20263000	0.041667
500	2000	20263001	0.091667
500	2000	20263002	0.066667
500	2000	20263003	0.041667
500	2000	20263004	0.041667
500	2000	20263005	0.025000
500	2000	20263006	0.050000
500	2000	20263007	0.075000
500	2000	20263008	0.075000
500	2000	20263009	0.050000
500	2000	20263010	0.041667
500	2000	20263011	0.050000
500	2000	20263012	0.058333
500	2000	20263013	0.016667
500	2000	20263014	0.033333
500	2000	20263015	0.083333
500	2000	20263016	0.075000
500	2000	20263017	0.041667
500	2000	20263018	0.033333
500	2000	20263019	0.091667
1000	2000	20263020	0.033333
1000	2000	20263021	0.066667
1000	2000	20263022	0.033333
1000	2000	20263023	0.075000
1000	2000	20263024	0.058333
1000	2000	20263025	0.041667
1000	2000	20263026	0.016667
1000	2000	20263027	0.050000
1000	2000	20263028	0.033333
1000	2000	20263029	0.050000
1000	2000	20263030	0.050000
1000	2000	20263031	0.050000
1000	2000	20263032	0.075000
1000	2000	20263033	0.050000
1000	2000	20263034	0.075000
1000	2000	20263035	0.041667
1000	2000	20263036	0.058333
1000	2000	20263037	0.033333
1000	2000	20263038	0.033333
1000	2000	20263039	0.083333
