# HSquared.jl AI-REML per-section profiler  2026-09-19T08:03:15.572
# git_sha=2dc5f8f7  julia=1.10.0  os=Darwin arm64-apple-darwin22.4.0
# blas=LBTConfig([ILP64] libopenblas64_.dylib)
# JULIA_NUM_THREADS=4  OPENBLAS_NUM_THREADS=1
# cpu=Apple M1 Ultra
# NOT CI / OPT-IN measurement only. No performance claim, no regression gate.
fixture	q	fill	iteration	section	method	wall_s	bytes	factorizations
halfsib	1000	3.847	1	mme_assembly	instrumented	0.000212	1165472	14
halfsib	1000	3.847	1	cholmod_factor	instrumented	0.000215	614008	14
halfsib	1000	3.847	1	mme_solve	instrumented	0.000020	113304	14
halfsib	1000	3.847	1	selinv	instrumented	0.000065	236336	14
halfsib	1000	3.847	1	ai_step	instrumented	0.000063	326512	14
halfsib	1000	3.847	1	iteration_total	instrumented	0.000601	0	14
halfsib	1000	3.847	2	mme_assembly	instrumented	0.000197	1165472	14
halfsib	1000	3.847	2	cholmod_factor	instrumented	0.000241	614008	14
halfsib	1000	3.847	2	mme_solve	instrumented	0.000020	113304	14
halfsib	1000	3.847	2	selinv	instrumented	0.000062	236336	14
halfsib	1000	3.847	2	ai_step	instrumented	0.000062	326432	14
halfsib	1000	3.847	2	iteration_total	instrumented	0.000582	0	14
halfsib	1000	3.847	3	mme_assembly	instrumented	0.000211	1165472	14
halfsib	1000	3.847	3	cholmod_factor	instrumented	0.000215	614008	14
halfsib	1000	3.847	3	mme_solve	instrumented	0.000020	113304	14
halfsib	1000	3.847	3	selinv	instrumented	0.000064	236336	14
halfsib	1000	3.847	3	ai_step	instrumented	0.000060	326352	14
halfsib	1000	3.847	3	iteration_total	instrumented	0.000570	0	14
halfsib	1000	3.847	4	mme_assembly	instrumented	0.000203	1165472	14
halfsib	1000	3.847	4	cholmod_factor	instrumented	0.000211	614008	14
halfsib	1000	3.847	4	mme_solve	instrumented	0.000024	113304	14
halfsib	1000	3.847	4	selinv	instrumented	0.000064	236336	14
halfsib	1000	3.847	4	ai_step	instrumented	0.000064	326192	14
halfsib	1000	3.847	4	iteration_total	instrumented	0.000567	0	14
halfsib	1000	3.847	5	mme_assembly	instrumented	0.000227	1165472	14
halfsib	1000	3.847	5	cholmod_factor	instrumented	0.000214	614008	14
halfsib	1000	3.847	5	mme_solve	instrumented	0.000022	113304	14
halfsib	1000	3.847	5	selinv	instrumented	0.000067	236336	14
halfsib	1000	3.847	5	ai_step	instrumented	0.000061	325952	14
halfsib	1000	3.847	5	iteration_total	instrumented	0.000591	0	14
halfsib	1000	3.847	6	mme_assembly	instrumented	0.000207	1165472	14
halfsib	1000	3.847	6	cholmod_factor	instrumented	0.000212	614008	14
halfsib	1000	3.847	6	mme_solve	instrumented	0.000021	113304	14
halfsib	1000	3.847	6	selinv	instrumented	0.000070	236336	14
halfsib	1000	3.847	6	ai_step	instrumented	0.000065	325952	14
halfsib	1000	3.847	6	iteration_total	instrumented	0.000576	0	14
halfsib	1000	3.847	7	mme_assembly	instrumented	0.000224	1165472	14
halfsib	1000	3.847	7	cholmod_factor	instrumented	0.000211	614008	14
halfsib	1000	3.847	7	mme_solve	instrumented	0.000018	113304	14
halfsib	1000	3.847	7	selinv	instrumented	0.000060	236336	14
halfsib	1000	3.847	7	ai_step	instrumented	0.000064	325952	14
halfsib	1000	3.847	7	iteration_total	instrumented	0.000578	0	14
halfsib	1000	3.847	8	mme_assembly	instrumented	0.000199	1165472	14
halfsib	1000	3.847	8	cholmod_factor	instrumented	0.002169	616856	14
halfsib	1000	3.847	8	mme_solve	instrumented	0.000021	113304	14
halfsib	1000	3.847	8	selinv	instrumented	0.000059	236336	14
halfsib	1000	3.847	8	ai_step	instrumented	0.000055	325952	14
halfsib	1000	3.847	8	iteration_total	instrumented	0.002504	0	14
halfsib	1000	3.847	9	mme_assembly	instrumented	0.000135	1165472	14
halfsib	1000	3.847	9	cholmod_factor	instrumented	0.000197	614008	14
halfsib	1000	3.847	9	mme_solve	instrumented	0.000016	113304	14
halfsib	1000	3.847	9	selinv	instrumented	0.000056	236336	14
halfsib	1000	3.847	9	ai_step	instrumented	0.000045	325952	14
halfsib	1000	3.847	9	iteration_total	instrumented	0.000449	0	14
halfsib	1000	3.847	10	mme_assembly	instrumented	0.000135	1165472	14
halfsib	1000	3.847	10	cholmod_factor	instrumented	0.000209	614008	14
halfsib	1000	3.847	10	mme_solve	instrumented	0.000016	113304	14
halfsib	1000	3.847	10	selinv	instrumented	0.000052	236336	14
halfsib	1000	3.847	10	ai_step	instrumented	0.000045	325952	14
halfsib	1000	3.847	10	iteration_total	instrumented	0.000457	0	14
halfsib	1000	3.847	11	mme_assembly	instrumented	0.000162	1165472	14
halfsib	1000	3.847	11	cholmod_factor	instrumented	0.000197	614008	14
halfsib	1000	3.847	11	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	11	selinv	instrumented	0.000051	236336	14
halfsib	1000	3.847	11	ai_step	instrumented	0.000044	325952	14
halfsib	1000	3.847	11	iteration_total	instrumented	0.000469	0	14
halfsib	1000	3.847	12	mme_assembly	instrumented	0.000121	1165472	14
halfsib	1000	3.847	12	cholmod_factor	instrumented	0.000192	614008	14
halfsib	1000	3.847	12	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	12	selinv	instrumented	0.000053	236336	14
halfsib	1000	3.847	12	ai_step	instrumented	0.000044	325952	14
halfsib	1000	3.847	12	iteration_total	instrumented	0.000425	0	14
halfsib	1000	3.847	13	mme_assembly	instrumented	0.000126	1165472	14
halfsib	1000	3.847	13	cholmod_factor	instrumented	0.000186	614008	14
halfsib	1000	3.847	13	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	13	selinv	instrumented	0.000051	236336	14
halfsib	1000	3.847	13	ai_step	instrumented	0.000042	325952	14
halfsib	1000	3.847	13	iteration_total	instrumented	0.000421	0	14
halfsib	1000	3.847	14	mme_assembly	instrumented	0.000130	1165472	14
halfsib	1000	3.847	14	cholmod_factor	instrumented	0.000187	614008	14
halfsib	1000	3.847	14	mme_solve	instrumented	0.000016	113304	14
halfsib	1000	3.847	14	selinv	instrumented	0.000052	236336	14
halfsib	1000	3.847	14	ai_step	instrumented	0.000042	325952	14
halfsib	1000	3.847	14	iteration_total	instrumented	0.000426	0	14
halfsib	1000	3.847	0	selinv	profile	0.000194	NaN	14
halfsib	1000	3.847	0	other	profile	0.005229	NaN	14
halfsib	1000	3.847	0	ai_step	profile	0.000032	NaN	14
halfsib	1000	3.847	0	mme_solve	profile	0.000018	NaN	14
halfsib	1000	3.847	0	cholmod_factor	profile	0.000560	NaN	14
