# HSquared.jl AI-REML per-section profiler  2026-09-19T07:39:07.250
# git_sha=4c4b6d9b  julia=1.10.0  os=Darwin arm64-apple-darwin22.4.0
# blas=LBTConfig([ILP64] libopenblas64_.dylib)
# JULIA_NUM_THREADS=4  OPENBLAS_NUM_THREADS=1
# cpu=Apple M1 Ultra
# NOT CI / OPT-IN measurement only. No performance claim, no regression gate.
fixture	q	fill	iteration	section	method	wall_s	bytes	factorizations
halfsib	1000	3.847	1	mme_assembly	instrumented	0.000199	1165472	14
halfsib	1000	3.847	1	cholmod_factor	instrumented	0.000209	614008	14
halfsib	1000	3.847	1	mme_solve	instrumented	0.000021	113304	14
halfsib	1000	3.847	1	selinv	instrumented	0.000066	236336	14
halfsib	1000	3.847	1	ai_step	instrumented	0.000061	326512	14
halfsib	1000	3.847	1	iteration_total	instrumented	0.000580	0	14
halfsib	1000	3.847	2	mme_assembly	instrumented	0.000198	1165472	14
halfsib	1000	3.847	2	cholmod_factor	instrumented	0.000210	614008	14
halfsib	1000	3.847	2	mme_solve	instrumented	0.000021	113304	14
halfsib	1000	3.847	2	selinv	instrumented	0.000066	236336	14
halfsib	1000	3.847	2	ai_step	instrumented	0.000058	326432	14
halfsib	1000	3.847	2	iteration_total	instrumented	0.000553	0	14
halfsib	1000	3.847	3	mme_assembly	instrumented	0.000198	1165472	14
halfsib	1000	3.847	3	cholmod_factor	instrumented	0.000270	614008	14
halfsib	1000	3.847	3	mme_solve	instrumented	0.000028	113304	14
halfsib	1000	3.847	3	selinv	instrumented	0.000078	236336	14
halfsib	1000	3.847	3	ai_step	instrumented	0.000070	326352	14
halfsib	1000	3.847	3	iteration_total	instrumented	0.000644	0	14
halfsib	1000	3.847	4	mme_assembly	instrumented	0.000222	1165472	14
halfsib	1000	3.847	4	cholmod_factor	instrumented	0.000237	614008	14
halfsib	1000	3.847	4	mme_solve	instrumented	0.000022	113304	14
halfsib	1000	3.847	4	selinv	instrumented	0.000067	236336	14
halfsib	1000	3.847	4	ai_step	instrumented	0.000061	326192	14
halfsib	1000	3.847	4	iteration_total	instrumented	0.000610	0	14
halfsib	1000	3.847	5	mme_assembly	instrumented	0.000271	1165472	14
halfsib	1000	3.847	5	cholmod_factor	instrumented	0.027802	616856	14
halfsib	1000	3.847	5	mme_solve	instrumented	0.000029	113304	14
halfsib	1000	3.847	5	selinv	instrumented	0.000066	236336	14
halfsib	1000	3.847	5	ai_step	instrumented	0.000056	325952	14
halfsib	1000	3.847	5	iteration_total	instrumented	0.028225	0	14
halfsib	1000	3.847	6	mme_assembly	instrumented	0.000153	1165472	14
halfsib	1000	3.847	6	cholmod_factor	instrumented	0.000205	614008	14
halfsib	1000	3.847	6	mme_solve	instrumented	0.000016	113304	14
halfsib	1000	3.847	6	selinv	instrumented	0.000053	236336	14
halfsib	1000	3.847	6	ai_step	instrumented	0.000045	325952	14
halfsib	1000	3.847	6	iteration_total	instrumented	0.000472	0	14
halfsib	1000	3.847	7	mme_assembly	instrumented	0.000130	1165472	14
halfsib	1000	3.847	7	cholmod_factor	instrumented	0.000190	614008	14
halfsib	1000	3.847	7	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	7	selinv	instrumented	0.000053	236336	14
halfsib	1000	3.847	7	ai_step	instrumented	0.000043	325952	14
halfsib	1000	3.847	7	iteration_total	instrumented	0.000432	0	14
halfsib	1000	3.847	8	mme_assembly	instrumented	0.000134	1165472	14
halfsib	1000	3.847	8	cholmod_factor	instrumented	0.000188	614008	14
halfsib	1000	3.847	8	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	8	selinv	instrumented	0.000052	236336	14
halfsib	1000	3.847	8	ai_step	instrumented	0.000044	325952	14
halfsib	1000	3.847	8	iteration_total	instrumented	0.000434	0	14
halfsib	1000	3.847	9	mme_assembly	instrumented	0.000126	1165472	14
halfsib	1000	3.847	9	cholmod_factor	instrumented	0.000188	614008	14
halfsib	1000	3.847	9	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	9	selinv	instrumented	0.000052	236336	14
halfsib	1000	3.847	9	ai_step	instrumented	0.000044	325952	14
halfsib	1000	3.847	9	iteration_total	instrumented	0.000425	0	14
halfsib	1000	3.847	10	mme_assembly	instrumented	0.000126	1165472	14
halfsib	1000	3.847	10	cholmod_factor	instrumented	0.000197	614008	14
halfsib	1000	3.847	10	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	10	selinv	instrumented	0.000052	236336	14
halfsib	1000	3.847	10	ai_step	instrumented	0.000044	325952	14
halfsib	1000	3.847	10	iteration_total	instrumented	0.000434	0	14
halfsib	1000	3.847	11	mme_assembly	instrumented	0.000125	1165472	14
halfsib	1000	3.847	11	cholmod_factor	instrumented	0.000188	614008	14
halfsib	1000	3.847	11	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	11	selinv	instrumented	0.000054	236336	14
halfsib	1000	3.847	11	ai_step	instrumented	0.000046	325952	14
halfsib	1000	3.847	11	iteration_total	instrumented	0.000429	0	14
halfsib	1000	3.847	12	mme_assembly	instrumented	0.000133	1165472	14
halfsib	1000	3.847	12	cholmod_factor	instrumented	0.000193	614008	14
halfsib	1000	3.847	12	mme_solve	instrumented	0.000016	113304	14
halfsib	1000	3.847	12	selinv	instrumented	0.000054	236336	14
halfsib	1000	3.847	12	ai_step	instrumented	0.000044	325952	14
halfsib	1000	3.847	12	iteration_total	instrumented	0.000441	0	14
halfsib	1000	3.847	13	mme_assembly	instrumented	0.000125	1165472	14
halfsib	1000	3.847	13	cholmod_factor	instrumented	0.000187	614008	14
halfsib	1000	3.847	13	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	13	selinv	instrumented	0.000051	236336	14
halfsib	1000	3.847	13	ai_step	instrumented	0.000044	325952	14
halfsib	1000	3.847	13	iteration_total	instrumented	0.000422	0	14
halfsib	1000	3.847	14	mme_assembly	instrumented	0.000125	1165472	14
halfsib	1000	3.847	14	cholmod_factor	instrumented	0.000186	614008	14
halfsib	1000	3.847	14	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	14	selinv	instrumented	0.000051	236336	14
halfsib	1000	3.847	14	ai_step	instrumented	0.000044	325952	14
halfsib	1000	3.847	14	iteration_total	instrumented	0.000422	0	14
halfsib	1000	3.847	0	selinv	profile	0.000196	NaN	14
halfsib	1000	3.847	0	other	profile	0.006373	NaN	14
halfsib	1000	3.847	0	ai_step	profile	0.000040	NaN	14
halfsib	1000	3.847	0	mme_solve	profile	0.000018	NaN	14
halfsib	1000	3.847	0	cholmod_factor	profile	0.000778	NaN	14
halfsib	1000	3.847	0	mme_assembly	profile	0.000583	NaN	14
