# HSquared.jl AI-REML per-section profiler  2026-09-19T08:14:47.114
# git_sha=c8cf8e05  julia=1.10.0  os=Darwin arm64-apple-darwin22.4.0
# blas=LBTConfig([ILP64] libopenblas64_.dylib)
# JULIA_NUM_THREADS=4  OPENBLAS_NUM_THREADS=1
# cpu=Apple M1 Ultra
# NOT CI / OPT-IN measurement only. No performance claim, no regression gate.
fixture	q	fill	iteration	section	method	wall_s	bytes	factorizations
halfsib	1000	3.847	1	mme_assembly	instrumented	0.000191	1165472	14
halfsib	1000	3.847	1	cholmod_factor	instrumented	0.000218	614008	14
halfsib	1000	3.847	1	mme_solve	instrumented	0.000025	113304	14
halfsib	1000	3.847	1	selinv	instrumented	0.000055	236336	14
halfsib	1000	3.847	1	ai_step	instrumented	0.000055	326512	14
halfsib	1000	3.847	1	iteration_total	instrumented	0.000563	0	14
halfsib	1000	3.847	2	mme_assembly	instrumented	0.000134	1165472	14
halfsib	1000	3.847	2	cholmod_factor	instrumented	0.000199	614008	14
halfsib	1000	3.847	2	mme_solve	instrumented	0.000016	113304	14
halfsib	1000	3.847	2	selinv	instrumented	0.000053	236336	14
halfsib	1000	3.847	2	ai_step	instrumented	0.000051	326432	14
halfsib	1000	3.847	2	iteration_total	instrumented	0.000454	0	14
halfsib	1000	3.847	3	mme_assembly	instrumented	0.000134	1165472	14
halfsib	1000	3.847	3	cholmod_factor	instrumented	0.000190	614008	14
halfsib	1000	3.847	3	mme_solve	instrumented	0.000016	113304	14
halfsib	1000	3.847	3	selinv	instrumented	0.000053	236336	14
halfsib	1000	3.847	3	ai_step	instrumented	0.000045	326352	14
halfsib	1000	3.847	3	iteration_total	instrumented	0.000437	0	14
halfsib	1000	3.847	4	mme_assembly	instrumented	0.000128	1165472	14
halfsib	1000	3.847	4	cholmod_factor	instrumented	0.000189	614008	14
halfsib	1000	3.847	4	mme_solve	instrumented	0.000016	113304	14
halfsib	1000	3.847	4	selinv	instrumented	0.000056	236336	14
halfsib	1000	3.847	4	ai_step	instrumented	0.000044	326192	14
halfsib	1000	3.847	4	iteration_total	instrumented	0.000433	0	14
halfsib	1000	3.847	5	mme_assembly	instrumented	0.000130	1165472	14
halfsib	1000	3.847	5	cholmod_factor	instrumented	0.000195	614008	14
halfsib	1000	3.847	5	mme_solve	instrumented	0.000015	113304	14
halfsib	1000	3.847	5	selinv	instrumented	0.000052	236336	14
